index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
35,2012,A nonlinear active noise control algorithm for virtual microphones controlling chaotic noise,Debi Prasad Das; Danielle Moreau; Benjamin Cazzolato,The Journal of the Acoustical Society of America,10.1121/1.4731227,20,https://openalex.org/W2066100156,,,15.7
36,2012,A Particle-Swarm-Optimization-Based Decentralized Nonlinear Active Noise Control System,Nithin V. George; Ganapati Panda,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2012.2205492,87,https://openalex.org/W2036022564,,,18.37
37,2012,Adaptive Fractional Fourier Domain Filtering in Active Noise Control,Sultan Aldrmaz; Ltfiye DurakAt,InTech eBooks,10.5772/26973,1,https://openalex.org/W1514442637,https://www.intechopen.com/citation-pdf-url/31193,037_2012_Aldrmaz_adaptive_fractional_fourier_domain_filtering_in_active_noise_control.pdf,20.01
38,2012,Convex Combination Filtered-X Algorithms for Active Noise Control Systems,Miguel Ferrer; Alberto González; María de Diego; Gema Piñero,IEEE Transactions on Audio Speech and Language Processing,10.1109/tasl.2012.2215595,76,https://openalex.org/W2015783867,,,16.76
39,2012,Filtered gradient active fuzzy neural network noise control in an enclosure backed by a clamped plate,Navid Azadi; Abdolreza Ohadi,International Journal of Adaptive Control and Signal Processing,10.1002/acs.1298,7,https://openalex.org/W1517668074,,,20.57
40,2013,A dual filtering scheme for nonlinear active noise control,Diego Delvecchio; Luigi Piroddi,International Journal of Adaptive Control and Signal Processing,10.1002/acs.2452,3,https://openalex.org/W1517047376,,,14.53
41,2013,Active Noise Control with a Single Nonlinear Control Filter for a Vibrating Plate with Multiple Actuators,Krzysztof Mazur; Marek Pawełczyk,Archives of Acoustics,10.2478/aoa-2013-0063,22,https://openalex.org/W2019150924,http://journals.pan.pl/Content/101558/PDF/11_paper.pdf,041_2013_Mazur_active_noise_control_with_a_single_nonlinear_control_filter_for_a_vibr.pdf,17.22
42,2013,Convex combination of nonlinear adaptive filters for active noise control,Nithin V. George; Alberto González,Applied Acoustics,10.1016/j.apacoust.2013.08.005,70,https://openalex.org/W2034392677,,,15.2
43,2013,Multichannel FSLMS algorithm based active headrest,Debi Prasad Das; Danielle Moreau; Benjamin Cazzolato,,10.1109/icaes.2013.6659361,1,https://openalex.org/W2054957423,,,18.51
44,2013,Nonlinear feedback active noise control for broadband chaotic noise,Suman Bala Behera; Debi Prasad Das; Nirmal Kumar Rout,Applied Soft Computing,10.1016/j.asoc.2013.10.025,31,https://openalex.org/W1964239423,,,14.81
45,2014,Adaptive feedback active noise control using wavelet frames: simulation and experimental results,Mahdi Akraminia; M. J. Mahjoob,Journal of Vibration and Control,10.1177/1077546314545835,11,https://openalex.org/W2030837240,,,18.61
