index,year,title,authors,venue,doi,cited_by_count_openalex,openalex_id,pdf_url,pdf_file,relevance_score
88,2022,Deep MCANC: A deep learning approach to multi-channel active noise control,Hao Zhang; DeLiang Wang,Neural Networks,10.1016/j.neunet.2022.11.029,50,https://openalex.org/W4310235760,,,117.0
89,2022,Interpolated Individual Weighting Subband Volterra Filter for Nonlinear Active Noise Control,Yi Yu; Lu Lu; Zongsheng Zheng; Xiaomin Yang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2022.3211280,17,https://openalex.org/W4312228506,,,24.17
90,2022,Novel Adaptive Fuzzy Feedback Neural Network Controller for Narrowband Active Noise Control System,Minh-Canh Huynh; Cheng‐Yuan Chang,IEEE Access,10.1109/access.2022.3167402,4,https://openalex.org/W4226092094,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09757171.pdf,,25.54
91,2023,A combined method for multi-channel active noise control based on online adaptive estimation and offline convolutional neural network,Qinxuan Xiang; Yijing Chu; Ming Wu; Guangzheng Yu,The Journal of the Acoustical Society of America,10.1121/10.0022860,0,https://openalex.org/W4389102687,,,20.5
92,2023,Clustering-Sparse Nyström Adaptive Filter-Based Nonlinear Distributed Active Noise Control System,Yingying Xiao; Qiangqiang Zhang; Yunfei Zheng; Junhui Qian; Shiyuan Wang,IEEE Transactions on Circuits & Systems II Express Briefs,10.1109/tcsii.2023.3347271,5,https://openalex.org/W4390357568,,,22.55
93,2023,Delayless Generative Fixed-Filter Active Noise Control Based on Deep Learning and Bayesian Filter,Zhengding Luo; Dongyuan Shi; Woon‐Seng Gan; Qirui Huang,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3337632,37,https://openalex.org/W4389317961,,,22.87
94,2023,Feedback Active Noise Cancellation Using Single Sensor with Deep Learning,Alireza Mostafavi; Young‐Jin Cha,River Publishers eBooks,10.1007/978-3-031-34938-6_7,1,https://openalex.org/W4388846696,,,20.51
95,2023,SFANC with Compensation Filter Based on MEFxDCTLMS Algorithm,Kenya Doi; Yoshinobu Kajikawa,,10.1109/apsipaasc58517.2023.10317110,5,https://openalex.org/W4388820381,,,19.05
96,2023,Transferable Latent of CNN-Based Selective Fixed-Filter Active Noise Control,Dongyuan Shi; Woon‐Seng Gan; Bhan Lam; Zhengding Luo; Xiaoyi Shen,IEEE/ACM Transactions on Audio Speech and Language Processing,10.1109/taslp.2023.3261757,32,https://openalex.org/W4385486692,,,19.82
97,2024,Active noise cancellation using hybrid CNN-LSTM classification and genetic algorithm-based community detection extraction with LMS noise filtering process,V.D.M. Jabez Daniel; C. Mythili,Noise Control Engineering Journal,10.3397/1/377242,1,https://openalex.org/W4405756665,,,22.01
98,2024,An Adaptive Neuro Fuzzy Network for Nonlinear Active Noise Control Systems,Nguyen Thi Trung Tin; Jing Na; Nguyen Le Thai; Yingbo Huang; Gengen Li,,10.23919/ccc63176.2024.10662675,0,https://openalex.org/W4402569211,,,22.0
99,2024,Attention-based convolutional neural network for multi-channel active noise control,Deepali Singh; Rinki Gupta; Arun Kumar; Rajendar Bahl,NOISE-CON proceedings,10.3397/in_2024_3971,1,https://openalex.org/W4403264625,,,20.51
100,2024,Charbonnier Quasi Hyperbolic Momentum Spline Based Incremental Strategy for Nonlinear Distributed Active Noise Control,Rajapantula Kranthi; no-firstname Vasundhara; Asutosh Kar; Mads Græsbøll Christensen,IEEE Open Journal of Signal Processing,10.1109/ojsp.2024.3501774,5,https://openalex.org/W4404562697,,,19.55
101,2024,GFANC-RL: Reinforcement Learning-based Generative Fixed-filter Active Noise Control,Zhengding Luo; Haozhe Ma; Dongyuan Shi; Woon‐Seng Gan,Neural Networks,10.1016/j.neunet.2024.106687,11,https://openalex.org/W4402284121,,,115.11
102,2025,A New Hybrid Adaptive Self-Loading Filter and GRU-Net for Active Noise Control in a Right-Angle Bending Pipe of an Air Conditioner,Wenzhao Zhu; Zhou Gu; Xiaoling Chen; Ping Xie; Lei Luo; Zonglong Bai,Sensors,10.3390/s25206293,0,https://openalex.org/W4415051139,https://www.mdpi.com/1424-8220/25/20/6293/pdf?version=1760110962,,119.0
103,2025,Deep learning-based Generative Fixed-Filter Active Noise Control: Transferability and implementation,Zhengding Luo; Junwei Ji; Boxiang Wang; Dongyuan Shi; Haozhe Ma; Woon‐Seng Gan,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113207,6,https://openalex.org/W4413423516,,,115.06
104,2025,Meta-learning-based delayless subband adaptive filter using complex self-attention for active noise control,Pengxing Feng; Hing Cheung So,Neurocomputing,10.1016/j.neucom.2025.130637,4,https://openalex.org/W4411660343,,,111.54
105,2025,Neuro-Fuzzy Network-Based Nonlinear Hybrid Active Noise Control Systems,Thi Trung Tin Nguyen; Jing Na; Le Thai Nguyen; Xian Wang,Entropy,10.3390/e27020138,4,https://openalex.org/W4406913846,,,119.04
106,2025,WaveNet-Volterra Neural Network for active noise control: A fully causal approach,Lu Bai; Siyuan Lian; Mengtong Li; Yiming He; Li Rao; Xiaofeng Zeng; Ruquan Sun; Kai Chen; Jing Lü,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2025.113486,3,https://openalex.org/W4415037925,,,118.03
107,2026,An Error Innovation-based Adaptive Kalman Filter for multi-channel Active Noise Control,Tahmida Islam; Miguel Ferrer; Maria de Diego; Alberto Gonzalez,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114113,1,https://openalex.org/W7133322243,,,15.01
108,2026,Hybrid deep learning–based active noise control for encapsulated structures with openings,Alkahf Aboutiman; Khaled Said Ahmed Maamoun; Hamid Reza Karimi; Francesco Ripamonti,Expert Systems with Applications,10.1016/j.eswa.2026.131247,0,https://openalex.org/W7124456593,,,23.5
109,2026,Robust momentum conjugate gradient filter with M-estimation for nonlinear active noise control,Wenxing Yang; Kaili Yin; Li Lü; Guokai Zhang; Min Ji,Mechanical Systems and Signal Processing,10.1016/j.ymssp.2026.114126,0,https://openalex.org/W7135029448,,,15.0
110,2026,TCN-KAN: A Parameter-Efficient and Causal Neural Network for Nonlinear Active Noise Control,Chengnan Li; Jiahao Zhuang; Geguo Du; Jie Yang,,10.1109/iceaai68945.2026.11442464,0,https://openalex.org/W7141752519,,,20.5
